1766957508.343363 client started (1051671): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1766957508.343420 on Linux 6.8.0-76060800daily20240311-generic #202403110203~1714077665~22.04~4c8e9a0 SMP PREEMPT_DYNAMIC Thu A
1766957508.345840 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345846 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345851 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345856 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345862 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345867 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345872 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345876 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345881 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.345886 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345893 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345899 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345913 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345919 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345924 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345929 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.345936 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345942 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345947 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345955 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345962 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345969 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345978 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345987 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345996 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346003 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346009 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346014 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346022 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346029 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.346034 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346052 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346053 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346055 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346057 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346059 sending message 112 to peer 0x64a1aaa260f0 (21 bytes)
1766957508.346075 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346077 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.346078 sending message 112 to peer 0x64a1aaa260f0 (6 bytes)
1766957508.346080 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346082 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.346084 sending message 112 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.346085 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346087 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.346089 sending message 112 to peer 0x64a1aaa260f0 (70 bytes)
1766957508.346091 sending message 112 to peer 0x64a1aaa260f0 (69 bytes)
1766957508.346092 sending message 112 to peer 0x64a1aaa260f0 (34 bytes)
1766957508.346094 sending message 112 to peer 0x64a1aaa260f0 (34 bytes)
1766957508.346096 sending message 112 to peer 0x64a1aaa260f0 (70 bytes)
1766957508.346098 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346099 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.346101 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.346103 sending message 112 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.346105 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346106 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.346108 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.346110 sending message 112 to peer 0x64a1aaa260f0 (17 bytes)
1766957508.346112 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.346113 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346115 sending message 112 to peer 0x64a1aaa260f0 (32 bytes)
1766957508.346117 sending message 112 to peer 0x64a1aaa260f0 (5 bytes)
1766957508.346119 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.346120 sending message 112 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.346122 sending message 112 to peer 0x64a1aaa260f0 (5 bytes)
1766957508.346125 sending message 104 to peer 0x64a1aaa260f0 (0 bytes)
1766957508.346127 sending message 110 to peer 0x64a1aaa260f0 (0 bytes)
1766957508.346130 sending message 107 to peer 0x64a1aaa260f0 (4 bytes)
